date, pm25, pm10, o3, no2, so2, co
2017/4/10, , 47, 25, 9, 3, 6
2017/4/11, , 57, 22, 8, 2, 6
2017/4/12, , 61, 17, 7, 2, 10
2017/4/13, , 53, 19, 7, 2, 6
2017/4/14, , 47, 17, 6, 2, 9
2017/4/15, , 50, 34, 5, 2, 5
2017/4/16, , 29, 21, 8, 3, 6
2017/4/17, , 43, 16, 10, 2, 5
2017/4/18, , 42, 13, 10, 3, 6
2017/4/19, , 54, 33, 12, 3, 7
2017/4/20, , 51, 68, 11, 3, 5
2017/4/21, , 79, , 11, 3, 4
2017/4/22, , 63, , 17, 3, 5
2017/4/23, , 51, 13, 13, 3, 5
2017/4/24, , 52, 17, 12, 3, 5
2017/4/25, , 62, 20, 14, 2, 6
2017/4/26, , 53, 18, 11, 2, 7
2017/4/27, , 55, 225, 10, 2, 6
2017/4/28, , 60, 39, 10, 3, 7
2017/4/29, , 27, , 8, 2, 5
2017/4/30, , 45, , 11, 3, 5
